tx_tot,day,ny_tot,tx_%_pos,ny_%_pos
3747779,802,6030935,11.48640301362487,6.902710773702585
3834586,803,6082774,11.527033166031483,6.852843784760046
3884848,804,6153767,11.613864944008105,6.785908533748515
3908235,805,6226435,11.767127616430436,6.7169254958897024
3944480,806,6298805,11.851625562811828,6.650912355597609
4000532,807,6368975,11.86152241751847,6.5888467139531866
4012657,808,6443832,11.999106826225118,6.52321475792665
4025864,809,6509644,12.080934676382512,6.465176897538482
4073661,810,6563646,12.048547976868964,6.419237113031386
4088863,811,6640705,12.243501433038965,6.354792149327519
4106360,812,6728481,12.342317770482861,6.282294621921351
4230763,813,6816381,12.13906333207509,6.212094071619529
4282041,814,6901836,12.157590270620949,6.145712532143621
4321676,815,6990504,12.23687291689613,6.078259879402115
4439041,816,7068196,12.065263645909106,6.020036795810416
4476167,817,7125087,12.129797659470704,5.977695430245273
4500645,818,7191978,12.225625438131646,5.93120557376566
4517189,819,7272403,12.33634457181225,5.874289419879509
4547069,820,7353387,12.37190374722706,5.817768057087163
4580026,821,7452267,12.392506068742842,5.750089201044461
4640860,822,7547116,12.349844640863978,5.686476794579545
4668028,823,7621159,12.372183714407884,5.638735525659548
4670875,824,7683190,12.425594776139375,5.598520926854601
4724559,825,7750445,12.41872521858654,5.55805505361305
4764640,826,7821634,12.427738507001578,5.514704472236875
4793914,827,7905071,12.468663392793445,5.466503716411908
4842362,828,8002897,12.427158481749196,5.407629262253407
4900972,829,8096770,12.375708328878435,5.3527764775336335
4924712,830,8196792,12.393699367597536,5.2959743275174
4961553,831,8263033,12.354377752288446,5.261457869041549
5033554,901,8340030,12.264356357357048,5.2219236621451
5068862,902,8428477,12.264429372904608,5.175525780043061
5107503,903,8517458,12.243693248932013,5.131894985569638
5119753,904,8610853,12.321473321076231,5.086267295470031
5183948,905,8710614,12.255427716481725,5.037210924511177
5282579,906,8796244,12.083302492967924,4.996462126334831
5320999,907,8855109,12.034770162520234,4.9691200864947005
5339126,908,8912935,12.020525456788246,4.943130405416397
5372132,909,8976165,12.021130530671995,4.9147269463072485
5405257,910,9052978,12.021796558424512,4.881388201760791
5454041,911,9142700,11.979301219041075,4.843109803449747
5519641,912,9245625,11.9136190197877,4.798377611032246
5550139,913,9318293,11.88139612359258,4.768738222762474
5213247,914,9381651,12.72613785611923,4.742747305351691
5247542,915,9455329,12.743985660333923,4.71389202850583
5299620,916,9530416,12.732460063174342,4.683594084455494
5345176,917,9621920,12.699656662381182,4.648365399005604
5444801,918,9711647,12.530136546771868,4.613553190308503
5563176,919,9822091,12.332308019735489,4.571714923024029
5593488,920,9922446,12.309564264730701,4.534164257482479
